lat,long,nu_ddd_farmacia,nu_telefone_farmacia,nu_cep_farmacia,no_bairro_farmacia,ds_endereco_farmacia,no_farmacia,no_cidade,uf
-20.9686423,-48.3183007,16,38523141,14660000,CENTRO,AV DOM PEDRO II 212,DROGAFARMA DE FRANCA LTDA,SALES OLIVEIRA,SP
-22.8032504,-43.0132641,22,27831129,28250000,CENTRO,"RUA CEL LUIZ SALLES, 260",D C MENDEL ME,ITALVA,RJ
-19.9438112,-44.0401448,11,37695736,32315100,ELDORADO,"RUA NORBERTO MAYER, 626 - 6º andar sala 606",RAIA DROGASIL S/A,CONTAGEM,MG
-19.7688912,-44.1352311,31,36252226,33820080,VENEZA,"MARIA ADELAIDE, Nº 688",CLAUDIO LOPES DE LANA,RIBEIRAO DAS NEVES,MG
-29.6394346,-50.8398152,51,35116754,95630000,CENTRO,RUA DR. LEGENDRE 536 SALA 03,DROGARIA MAIS ECONOMICA S.A.,PAROBE,RS
-30.0184996,-51.1866455,51,33254177,90550141,SAO JOAO,RUA DOM PEDRO II 1170,RAIA DROGASIL S/A,PORTO ALEGRE,RS
-23.0338625,-46.9828319,11,32747417,13280000,JARDIM JUNCO,AVENIDA DOS IMIGRANTES 299,DROGARIA SAO PAULO S.A.,VINHEDO,SP
-20.340807,-40.3873014,27,21245702,29146201,CAMPO GRANDE,"AVENIDA EXPEDITO GARCIA, 31 - LJ 02",DELCI PEREIRA DA SILVA & CIA. LTDA.,CARIACICA,ES
-20.8669112,-47.9008767,11,37695678,14620000,CENTRO,"RUA 01, Nº 25",RAIA DROGASIL S/A,ORLANDIA,SP
-28.2692099,-52.4278989,54,33350100,99025604,BOQUEIRAO,"AV BRASIL OESTE, 3592, LOJA 02",COMERCIO DE MEDICAMENTOS BRAIR LTDA,PASSO FUNDO,RS
-30.0448156,-51.2095313,51,32264564,90040183,CIDADE BAIXA,AV. VENÂNCIO AIRES Nº399,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,PORTO ALEGRE,RS
-16.0501778,-57.043608,65,32222617,78200000,COHAB NOVA,Rua DOS SILVA 12,F A DE FREITAS & CIA LTDA - ME,CACERES,MT
-29.3612933,-50.8346635,51,37551321,95970000,CENTRO,RUA BARÃO DO RIO BRANCO 217,DROGARIA LUCCA LTDA,MUCUM,RS
-19.7939979,-43.9412943,31,36371469,33125020,SAO BENEDITO,ONOFRE TEIXEIRA 667,DROGARIA E PERFUMARIA PAULAS LTDA ME,SANTA LUZIA,MG
-29.7916765,-51.1474865,51,35613535,93600000,DAS QUINTAS,"R PORTAO, 3015 - SALA 7","SARAFARM - FARMACIA, DROGARIA E PERFUMARIA LTDA - ME",ESTANCIA VELHA,RS
-21.3769647,-49.2092707,17,35423547,14960000,JARDIM SANTA CLARA,"RUA PONGAÍ, Nº 374",DROGARIA F F LTDA ME,NOVO HORIZONTE,SP
-22.2392179,-49.7705969,14,34711415,17400000,ARACELI,"AV. AVENIDA PRESIDENTE VARGAS, 1042",PAULO R FERRARI & CIA LTDA ME,GARCA,SP
-29.5269547,-50.780605,54,32511016,95480000,CENTRO,"AV GETULIO VARGAS, 1556, CASA",OMAR TADEU A CARDOSO ME,CAMBARA DO SUL,RS
-5.6397853,-35.4293618,84,36441700,59157300,CAJUPIRANGA,RUA GILBERTO ROBERTO GOMES 136,EMPREENDIMENTO FARMACEUTICO SANTA FE LTDA,PARNAMIRIM,RN
-29.7332387,-51.5375822,51,36492099,95780000,CENTRO,RUA RAMIRO BARCELOS  2242,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,MONTENEGRO,RS
-22.935443,-43.6663144,21,2407-142,23520243,REALENGO,"AV. SANTA CRUZ, Nº 525",DROGARIAS PACHECO S/A,RIO DE JANEIRO,RJ
-29.1902046,-51.5295439,54,34554333,95700000,SEDE,"R JOSE MARIO MONACO, 358",ASSOCIACAO DR BARTHOLOMEU TACCHINI,BENTO GONCALVES,RS
-29.1499091,-54.7221758,11,47181277,18120000,CENTRO,"RUA SANTOS DUMONT, 268",FARMACIA MERGUIZO E MORESCHI LTDA - EPP,MAIRINQUE,SP
-22.4569816,-44.4358806,24,33541769,27536220,PARAISO,RUA NOSSA SENHORA DE FÁTIMA Nº 150,MARCELO SOUZA RIBEIRO - ME,RESENDE,RJ
-26.8915912,-49.249999,47,33332280,89130000,DOS ESTADOS,"RUA MAL FLORIANO PEIXOTO, 456, SALA 03",FARMACIA DOS ESTADOS LTDA ME,INDAIAL,SC
-25.4360633,-49.2740047,41,32322510,80010030,CENTRO,PRAÇA RUI BARBOSA 433,FARMÁCIAS E DROGARIAS NISSEI LTDA,CURITIBA,PR
-22.1866478,-47.302278,19,35711019,13610000,CENTRO,AVENIDA 29 DE AGOSTO Nº 726,LUIZ FLORINDO E CIA. LTDA.,LEME,SP
-22.89473,-43.3463628,21,24722956,21320060,PRACA SECA,"COMERCIAL CANDIDO BENICIO, 1737",DROGARIAS PACHECO S/A,RIO DE JANEIRO,RJ
-10.9505253,-37.1164369,79,3254-146,49160000,CJ JOAO ALVES FILHO,"AVENIDA  I, 281 - SALAO",JOSE FERNANDES MARTINS - ME,NOSSA SENHORA DO SOCORRO,SE
-23.5193111,-51.7282792,44,32332368,86975000,CENTRO,AV AMAZONAS 2212,FARMACIA VILAFARMA DE MANDAGUARI LTDA ME,MANDAGUARI,PR
-18.8581812,-41.9487875,33,32718980,35010060,CENTRO,"R BENJAMIN CONSTANT, 517, LJ B",DROGARIAS PACHECO S/A,GOVERNADOR VALADARES,MG
-22.9845686,-43.2061874,11,37695736,22410003,IPANEMA,"RUA VISCONDE DE PIRAJA, 210 - LOJA C",RAIA DROGASIL S/A,RIO DE JANEIRO,RJ
-23.4085919,-51.9633079,11,32747400,87080110,ZONA 07,PRAÇA PIONEIRO JACINTO FERREIRA BRANCO 149  LOTE 34-K/17,DROGARIA SAO PAULO S.A.,MARINGA,PR
-23.3268482,-51.1572336,11,37695736,86015000,JARDIM NOVA LONDRES,"AV DUQUE DE CAXIAS, 1187",RAIA DROGASIL S/A,LONDRINA,PR
-22.9670419,-46.5439476,11,40338115,12919494,SANTA LUZIA,"FELIPE SIQUEIRA, 333",ANA LUCIA SALAROLLI MARTIN - ME,BRAGANCA PAULISTA,SP
-25.59452,-54.511572,45,35741020,85863000,VL YOLANDA,AV CATARATAS 945,FARMACIA E DROGARIA DAS CATARATAS LTDA. - ME,FOZ DO IGUACU,PR
-22.102809,-51.5893444,18,32621033,19300000,CENTRO,DUQUE DE CAXIAS 402,FRANCA MARCHI DROGARIA E PERFUMARIA LTDA,PRESIDENTE BERNARDES,SP
-23.1672729,-45.8932749,12,39229911,12211000,SANTANA,AV RUI BARBOSA 837,COOPERATIVA DE CONSUMO,SAO JOSE DOS CAMPOS,SP
-15.7531789,-48.3078624,48,32761194,88450000,CENTRO,"RUA HERCILIO LUZ, 40",NORBERTO WAGNER,ALFREDO WAGNER,SC
-1.6276657,-47.4818517,91,30844671,68660000,CENTRO,"COMERCIAL TANCREDO NEVES, 1283",DISTRIBUIDORA BIG BENN S.A,SAO MIGUEL DO GUAMA,PA
-16.7122732,-49.2651352,62,32558060,74230100,SETOR BUENO,"AVENIDA T63, Nº 980, QUADRA 142 - LOTE 10/16",DROGASIL S/A,GOIANIA,GO
-18.7532355,-50.9349105,64,36541186,75870000,CENTRO,"AV PRESIDENTE VARGAS, 659",C F DE FREITAS E CIA LTDA - ME,CACHOEIRA ALTA,GO
-29.9838459,-51.1977605,69,35412347,76850000,CENTRO,"AV MARECHAL DEODORO, 481, Letra A",MANUSSAKIS IMP E EXP LTDA,GUAJARA-MIRIM,RO
-27.3565872,-53.355571,54,33131900,98400000,CENTRO,"RUA DO COMERCIO, 480 - LOJA A",COMERCIO DE MEDICAMENTOS BRAIR LTDA,FREDERICO WESTPHALEN,RS
-19.1713662,-41.8637037,33,32311232,35120000,CENTRO,"AV JK, 247",DROGARIA CASSEMIRO LTDA,ITANHOMI,MG
-29.6804676,-49.9931417,54,33177083,95555000,CENTRO,"RUA PARAGUASSU, 1984",COMERCIO DE MEDICAMENTOS BRAIR LTDA,CAPAO DA CANOA,RS
-22.5690386,-47.4092206,19,34448600,13480070,CENTRO,"AVENIDA SAUDADES, 1441",FARMACIA SANTA BARBARA AVENIDA SAUDADES LTDA - EPP,LIMEIRA,SP
-18.4222346,-49.230936,64,34319626,75530020,SANTA INEZ,"R. PARANAIBA, 1247, B",DROGARIA ARAGUAIA DE ITUMBIARA LTDA,ITUMBIARA,GO
-23.5004631,-47.4711066,15,32245500,18043000,VILA LUCY,"AV ENIDAGENERAL CARNEIRO, 174",MACER DROGUISTAS LTDA,SOROCABA,SP
-19.893532,-47.422737,34,33512332,38190000,CENTRO,AV. VIGÁRIO PAIXÃO N° 112,ELIANA APARECIDA RIBEIRO PEREIRA,SACRAMENTO,MG
-22.9251041,-43.2370355,21,27523000,20511000,TIJUCA,"AVENIDA MARACANA, 987 - PARTE, SUC 1014 PISO L-1",CSB DROGARIAS S/A,RIO DE JANEIRO,RJ
-22.7796875,-47.3163242,19,34661649,13460000,JD SAO JORGE,"RUA RIO DE JANEIRO, 467",DROGARIA SAO JORGE NOVA ODESSA LTDA - ME,NOVA ODESSA,SP
-23.1911655,-46.7898058,19,38931288,13920000,JARDIM TRIUNFO,"RUA  JAGUARIÚNA, Nº102",DROGARIA TRIUNFO SAO JOSE LTDA ME,PEDREIRA,SP
-19.9367778,-43.9418904,31,32841508,30112011,FUNCIONARIOS,"RUA ANTONIO DE ALBUQUERQUE, 845",RAIA DROGASIL S/A,BELO HORIZONTE,MG
-25.417723,-49.2607046,41,30444014,82530010,JARDIM SOCIAL,"AVENIDA NOSSA SENHORA DA LUZ, 2427",RAIA DROGASIL S/A,CURITIBA,PR
-16.678556,-49.2499328,11,37695736,74030010,SETOR CENTRAL,RUA 10 209 QUADRA 44 LOTE 02 E,RAIA DROGASIL S/A,GOIANIA,GO
-28.2608284,-52.4245748,51,33113141,99010001,CENTRO,AVENIDA BRASIL Nº 450,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,PASSO FUNDO,RS
-22.3716701,-46.941659,19,38610548,13840035,CENTRO,"rua APOLINARIO, 45",ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,MOGI GUACU,SP
-25.1033828,-51.0539062,42,34461335,84400000,CENTRO,"PRAÇA FIRMO DE QUEIROZ, 408",JOAO OLYMPIO PACHECO,PRUDENTOPOLIS,PR
-25.4527399,-49.2714707,41,32138240,80220100,REBOUCAS,"RUA BRIGADEIRO FRANCO, 3746",FARMACIA E DROGARIA NISSEI LTDA,CURITIBA,PR
-20.660367,-40.5006302,27,33611648,29215020,MUQUICABA,"RUA SANTANA DO IAPO, 29",COMERCIO E MEDICAMENTOS LANCAPI LTDA ME,GUARAPARI,ES
-20.7917655,-49.3977005,17,32388484,15075010,JARDIM SORAYA,"RUA VALERIA, 695",DROGARIA SORAYA RIO PRETO LTDA - ME,SAO JOSE DO RIO PARDO,SP
-19.4649739,-43.7918336,31,36831227,35830000,CENTRO,"RUA BENEDITO QUINTINO, 373, LOJA B",DROGARIA E PERFUMARIA POPULAR LTDA,JABOTICATUBAS,MG
-30.0636704,-51.1755714,55,33524537,97800000,CENTRO,"RUA GAL PORTINHO, 1450",QUEIROZ E COMASSETO LTDA ME,SAO LUIZ GONZAGA,RS
-22.7349252,-43.4163016,21,26621911,26140000,HELIOPOLIS,AVENIDA TAPAJOS 162 LOJAS A B,DROGARIA MONTE MORIA LTDA - ME,BELFORD ROXO,RJ
-23.3205211,-50.0624729,43,35341106,86430000,CENTRO,"RUA CORONEL CAPUCHO, Nº 909",FARMACIA RUBENS DE OLIVEIRA LTDA,SANTO ANTONIO DA PLATINA,PR
-22.4086827,-45.445687,35,36224617,37500040,CENTRO,TRAVESSA JOAO DE OLIVEIRA FEICHAS,DROGASIL S.A.,ITAJUBA,MG
-28.6765202,-49.3672189,48,34374895,88801250,CENTRO,"CEL PEDRO BENEDET, Nº 363, ED SAN VICENTE",CIA LATINO AMERICANA DE MEDICAMENTOS,CRICIUMA,SC
-23.4426822,-45.6485933,12,39740372,12260000,CENTRO,"CEL CAMARGO, Nº 168",LUIZ FERNANDO MELLON ME,PARAIBUNA,SP
-29.9245592,-51.1820694,11,37695736,92310190,CENTRO,"R. DOMINGOS MARTINS, Nº 843",RAIA DROGASIL S/A,CANOAS,RS
-25.0734409,-50.1877708,42,32268594,84062000,SABARA,"AV SOUZA NAVES, 2913",PANATO & CIA LTDA ME,PONTA GROSSA,PR
-23.2311984,-45.890305,12,39394071,12230001,JARDIM SATELITE,"AVENIDA ANDROMEDA, 1420",RAIA DROGASIL S/A,SAO JOSE DOS CAMPOS,SP
-24.937191,-50.0990642,42,32319500,84145000,CENTRO,"RDV DAS AGUAS MARINHAS, 480, SALA MERCADO",FARMACIA RICKLI LTDA - EPP,CARAMBEI,PR
-21.276326,-50.6937574,18,36061396,16700000,CENTRO,"PRAÇA N S DA CONCEICAO, Nº 30",ZUIM & ZUIM LTDA-EPP,GUARARAPES,SP
-18.016667,-41.7,33,3511-130,39830000,CENTRO,"RUA ORLINDA SILVA PEREIRA, 32",MEIRA & MIRANDA COMERCIO E MEDICAMENTOS LTDA - ME,ITAMBACURI,MG
-25.4772937,-49.5292747,41,33924468,83601000,CENTRO,RUA CENTENÁRIO 2152,FARMÁCIAS E DROGARIAS NISSEI LTDA,CAMPO LARGO,PR
-27.8127144,-50.3249632,51,35116754,88502200,CENTRO,"CORREIA PINTO, 113",DROGARIA MAIS ECONOMICA LTDA,LAGES,SC
-25.2833213,-54.0978972,45,35651393,85877000,CENTRO,RUA CASTRO ALVES Nº 195,RAFAEL PETRICOSKI. - EPP,SAO MIGUEL DO IGUACU,PR
-22.967502,-48.2336628,14,38451096,18570000,CENTRO,"PCA TIRADENTES, 18",FARMACIA CONSANI LTDA ME,CONCHAS,SP
-22.911014,-43.2055975,21,22304068,23061160,CONJT. VILA JOÃO,"RUA 14, 339",DROGARIA CLASSE A LTDA ME,RIO DE JANEIRO,RJ
-22.1305434,-46.1017036,35,34241361,37557000,CENTRO,DUQUE DE CAXIAS 244,ANA TEREZA MOREIRA & CIA LTDA,CONGONHAL,MG
-11.8662018,-41.806632,75,33312101,46900000,CENTRO,"CONEGO JOAO PEDRO ALVES, 118, COMODO",EDENILSON CARVALHO TEIXEIRA,SEABRA,BA
-22.7663634,-43.3348977,11,33472800,11013000,CENTRO,RUA JOÃO PESSOA  Nº 24,DROGARIA SÃO PAULO S.A.,SANTOS,SP
-19.9051501,-43.9466591,31,34427739,31210080,LAGOINHA,"RUA ITAPECERICA, 1021",DROGA-ANA LTDA,BELO HORIZONTE,MG
-11.432844,-61.4777,69,34411094,78977005,CENTRO,"AVENIDA SETE DE SETEMBRO, 2387",DUTRA E SANTOS LTDA - ME.,CACOAL,RO
-23.3175579,-52.8098384,44,36841122,87810000,CENTRO,AV PADRE EVALDO FELDAHAUS 86,VALDIR SALVADOR ME,GUAPOREMA,PR
-21.146139,-47.818656,16,36221136,14060060,IPIRANGA,"CEL AMERICO BATISTA, Nº 682",ATALIBIO ALMEIDA & FILHO LTDA ME,RIBEIRAO PRETO,SP
-25.0363708,-52.8688189,45,32321156,85400000,CENTRO,"AV. MANOEL RIBAS, 276, TERREO",EMERSON DAVID VALENTIM - ME,GUARANIACU,PR
-25.1033828,-51.0539062,42,3446-549,84400000,CENTRO,"AVENIDA SAO JOAO, 2241 - TERREO",ALVORECER FARMACIA LTDA - ME,PRUDENTOPOLIS,PR
-16.3284789,-48.953037,62,33211558,75025050,SETOR CENTRAL,"PRAÇA BOM JESUS, Nº 89, SALA 01",DROGASIL S/A,ANAPOLIS,GO
-23.2385177,-47.5472784,11,37695736,18540000,CENTRO,"PRAÇA CORONEL ESMEDIO, Nº 26",RAIA DROGASIL S/A,PORTO FELIZ,SP
-23.3226076,-45.9179936,11,38863097,12243081,JARDIM APOLO,"AV JORGE ZARUR, 100, PARTE I",COMPANHIA BRASILEIRA DE DISTRIBUICAO,SAO JOSE DOS CAMPOS,SP
-27.7306181,-52.5368602,54,33681177,99730000,CENTRO,"AV LUIZ DORIGON, 241",SOCIEDADE BENEFICENTE SAO JUDAS TADEU,JACUTINGA,RS
-22.5370701,-47.9175572,19,34834646,13520000,CENTRO,"RUA VERISSIMO PRADO, 172",DROGAL FARMACEUTICA LTDA,SAO PEDRO,SP
-23.003143,-43.3270516,21,24071425,22631020,BARRA DO PIRAI,PRAÇA NILO PEÇANHA Nº114,JAMYR VASCONCELLOS S.A.,RIO DE JANEIRO,RJ
-21.7933045,-46.5620116,35,37221222,37701870,VILA CRUZ,"AVENIDA CHAMPAGNAT, 1248",DROGARIA DROGACENTRO DE POCOS DE CALDAS LTDA EPP,POCOS DE CALDAS,MG
-22.893069,-47.0510046,61,32942598,13092123,NOVA CAMPINAS,"JOSE DE SOUZA CAMPOS, 330/340",DROGASIL SA,CAMPINAS,SP
-31.3937182,-52.6847594,51,35111000,96600000,CENTRO,"RUA GENERAL OSORIO, 1144",DROGARIA MAIS ECONOMICA S.A.,CANGUCU,RS
-25.5381718,-49.1980228,11,37695736,83005420,CENTRO,"RUA VISCONDE DO RIO BRANCO, 2146",RAIA DROGASIL S/A,SAO JOSE DOS PINHAIS,PR
-23.4085919,-51.9633079,21,24071425,87080110,ZONA 07,PC PIONEIRO JACINTO FERREIRA BRANCO 149 LOTE 34-K/17,DROGARIAS PACHECO S/A,MARINGA,PR
-23.2033696,-47.2905566,11,40289639,13320005,CENTRO,RUA NOVE  DE JULHO Nº 146,DROGA LEAO CENTRO LTDA,SALTO,SP
-23.572939,-46.6758325,11,69397210,8210040,TATUAPÉ,RUA TUIUTI Nº 1886,DROGARIA IMPÉRIO LTDA.,SAO PAULO,SP
-25.4207871,-51.4803884,44,33231046,86900000,CENTRO,"AV. PARANÁ, Nº 975",M. ROCCO & CIA LTDA - EPP,COLORADO,PR
-8.0749636,-34.8895312,54,33131900,89874000,CENTRO,"AVENIDA SUL BRASIL, 137 - SALA 102",COMERCIO DE MEDICAMENTOS BRAIR LTDA,MARAVILHA,SC
-22.9845686,-43.2061874,11,37695736,22410003,IPANEMA,"RUA VISCONDE DE PIRAJA, Nº 592, LOJA D",RAIA DROGASIL S/A,RIO DE JANEIRO,RJ
-5.7922206,-35.3080974,84,3214-730,59290000,CONJUNTO AMARANTE,"R. CAROLINA, 111",KIFARMACIA PRODUTOS FARMACEUTICOS LTDA - ME,SAO GONCALO DO AMARANTE,RN
-21.9774966,-47.8896772,16,33613279,13566770,JARDIM BRASÍLIA,"AVENIDA ARARAQUARA, Nº 731",DROGARIA SAO JORGE & VICENTE LTDA ME,SAO CARLOS,SP
-2.9199068,-41.7631351,86,33230660,64215400,SAO FRANC.DA GUARITA,R CARAMURU 122,F C DE SOUSA DROGARIA ME,PARNAIBA,PI
-1.4301148,-48.4531202,91,30844609,66613710,SOUZA,"ALMIRANTE BARROSO, Nº 4610",DISTRIBUIDORA BIG BENN LTDA,BELEM,PA
-27.5113139,-54.3630999,55,35341228,98925000,CENTRO,RUA GETULIO VARGAS Nº 1461,DROGARIA MAURICIO CARDOSO LTDA,DOUTOR MAURICIO CARDOSO,RS
-28.7027795,-49.4072309,49,36670022,89879000,CENTRO,"RUA SAO MIGUEL, 763, SALA 01, SALA 01",MARCUS V F DAGOSTINI,SUL BRASIL,SC
-29.1499091,-54.7221758,45,32242015,85801000,CENTRO,"AV BRASIL, 6419",FARMACIA E DROGARIA NISSEI LTDA,CASCAVEL,PR
-22.9974949,-47.1406799,19,32491306,13084000,BARÃO DE GERALDO,RUA ALBINO JOSÉ BARBOSA DE OLIVEIRA Nº 448,DROGASIL S.A.,CAMPINAS,SP
-20.0789095,-45.298669,37,32813388,35560000,CENTRO,"PRAÇA GETULIO VARGAS , 59, LOJA 02",CENTRAL SAUDE DROGARIA E PERFUMARIA LTDA. - ME,SANTO ANTONIO DO MONTE,MG
-26.3139248,-48.8447708,41,32138240,89202000,ANITA GARIBALDI,"AVENIDA GETULIO VARGAS, 814",FARMACIA E DROGARIA NISSEI LTDA,JOINVILLE,SC
-22.7349124,-47.6510534,19,33018029,13400056,CENTRO,"RUA BENJAMIN CONSTANT, 2211",DROGAL FARMACEUTICA LTDA,PIRACICABA,SP
-25.4670202,-49.2866786,41,32138260,80610260,PORTAO,"AV REPUBLICA ARGENTINA, 2930",FARMACIA E DROGARIA NISSEI LTDA,CURITIBA,PR
-19.7619974,-42.0322755,33,33211773,35300033,CENTRO,"PÇA DOM PEDRO II, Nº 16, LOJA",JOSE RAIMUNDO MELANIA & CIA LTDA - EPP,CARATINGA,MG
-29.7377138,-53.8027046,55,3211-189,97070000,MEDIANEIRA,"AVENIDA ANGELO BOLSON, N°2099 - SALA A",CRISTIANI BEATRIZ DADALT SOUTO ME,SANTA MARIA,RS
-22.3157845,-49.0602464,14,32124334,17013231,VILA CARDIA,"R. MARCONDES SALGADO, Nº 11-39 LJ.11-39",RAIA DROGASIL S/A,BAURU,SP
-26.123662,-49.9061378,47,36430445,89300000,VILA NOVA,"RUA GERMANO NEUNDORF, Nº 599",VALDEMAR FLEISCHMANN & CIA LTDA ME,MAFRA,SC
-28.5708718,-52.8584693,54,33921107,99495000,CENTRO,"AV OTTO RADTKE, 1165",COMERCIO DE PRODUTOS FARMACEUTICOS LAGOA LTDA - ME,LAGOA DOS TRES CANTOS,RS
-30.6463346,-53.5827618,55,32816000,96570000,CENTRO,"RUA XV DE NOVEMBRO, 462",CVS ROSA,CACAPAVA DO SUL,RS
-22.0118852,-47.8909117,16,33742585,13560011,CENTRO,"AVENIDA SAO CARLOS, 1418",FARMACIA RODRIGUES LTDA-ME,SAO CARLOS,SP
-15.7437725,-43.0245856,38,38311077,39520000,CENTRO,"R. BENJAMIN CONSTANT, 59",DROGARIA E PERFUMARIA PORTEIRINHA LTDA - ME,PORTEIRINHA,MG
-28.8508043,-51.8934645,54,32212124,9501002,CENTRO,"AVENIDA JULIO DE CASTILHOS, Nº 1970",DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,CAXIAS DO SUL,RS
-21.185586,-47.8075482,11,37695678,14015170,CENTRO,"AV. NOVE DE JULHO, Nº 1177",RAIA DROGASIL S/A,RIBEIRAO PRETO,SP
-20.8730463,-47.5849493,16,37611238,14300000,SEDE,AV DR MANOEL FURTADO 300,UNIMED DE BATATAIS COOPERATIVA DE TRABALHO,BATATAIS,SP
-25.0595351,-53.8791632,45,32672104,85845000,CENTRO,AV PEDRO ALVARES CABRAL 423,FREITAG & GOMES LTDA ME,VERA CRUZ DO OESTE,PR
-30.043951,-51.2206507,51,32232909,90160003,AZENHA,AVENIDA AZENHA  Nº 1395,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,PORTO ALEGRE,RS
-20.1452141,-40.184934,27,32523579,29175110,ESTANCIA MONAZITICA,"AV. ABIDO SAAD, 936",DROGARIA SANTOS SOUZA LTDA ME,SERRA,ES
-30.0188078,-51.2134564,54,33131900,90230120,SÃO GERALDO,AV SAO PEDRO 549 LOJA 1,COMERCIO DE MEDICAMENTOS BRAIR LTDA,PORTO ALEGRE,RS
-28.1840895,-54.5331926,55,33591686,97900000,CENTRO,"R 7 DE SETEMBRO, 727",MARIA E FRANTZ,CERRO LARGO,RS
-27.6705136,-48.6815092,48,33420968,88135100,ARIRIU,"AV. BOM JESUS DE NAZARE, Nº 914",FARMACIA M COELHO LTDA,PALHOCA,SC
-28.29985,-54.2654558,51,35116754,98801590,BOA ESPERANCA,"BRASIL, 876",DROGARIA MAIS ECONOMICA LTDA,SANTO ANGELO,RS
-22.7796875,-47.3163242,19,34665699,13460000,JARDIM SANTA ROSA,AV AMPELIO GAZZETTA 2035,DROGAL FARMACEUTICA LTDA,NOVA ODESSA,SP
-29.6804676,-49.9931417,51,36652121,95555000,NAVEGANTES,AVENIDA PARAGUASSU  Nº 2696,DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS,CAPAO DA CANOA,RS
-22.911014,-43.2055975,21,26078000,24420005,ROCHA,"AV PRES HUMBERTO DE A. CASTELO BRANCO, 3382",NOVA DROGARIA TAMOIO LTDA,RIO DE JANEIRO,RJ
-23.6057156,-46.7539626,11,41377061,67750000,JARDIM CLEMENTINO,ESTRADA KIZAEMON TAKEUTI 1300,DAVO SUPERMERCADOS LTDA,TABOAO DA SERRA,SP
-29.7253369,-51.1618084,54,3335-010,93125000,SCHARLAU,"AVENIDA PAROBE, 348 (ESQUINA REINALDO BECKER, 320)",COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO LEOPOLDO,RS
-22.2749161,-46.9538016,19,36338211,13870080,CENTRO,"rua ADEMAR DE BARROS, 51",ATACADO E COMERCIO DE MEDICAMENTOS AYMORE LTDA,SAO JOAO DA BOA VISTA,SP
-22.8217692,-47.2734537,19,3903100,13170023,CENTRO,"AVENIDA REBOUCAS, 2496",DROGAL FARMACEUTICA LTDA,SUMARE,SP
-28.2626687,-52.4172451,54,33125878,99010020,CENTRO,"RUA GENERAL NETTO, 170",DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,PASSO FUNDO,RS
-15.3069377,-49.1584288,62,33531925,76380000,CENTRO,SALA COMERCIAL 68-A,SANTOS & ELIAS LTDA ME,GOIANESIA,GO
-17.374407,-40.2201359,73,32961253,45960000,CENTRO,"PRAÇA SETE, Nº 78",FARMACIA KI SARA LTDA,MEDEIROS NETO,BA
-23.0033129,-43.4403973,21,24722956,22790700,Barra da Tijuca,"Av das Americas, 13652",DROGARIAS PACHECO S/A,RIO DE JANEIRO,RJ
-5.8118739,-35.214845,84,32342525,59056500,LAGOA NOVA,AVENIDA  ANTONIO BASILIO 2598,EMPREENDIMENTO FARMACEUTICO SANTA FE LTDA,NATAL,RN
-27.2043573,-50.4917417,49,32450955,89520000,CENTRO,ALZEMIRO WALDOMIRO DE ALMEIDA ESQUINA COM FAUSTINO  JOSE DA COSTA,GRACIOSA DROGARIA E PERFUMARIA LTDA,CURITIBANOS,SC
-28.6004809,-55.8165387,54,33350100,97670000,PASSO,AV FRANCISCO MIRANDA 944 LOJA 01,,COMERCIO DE MEDICAMENTOS BRAIR LTDA,SAO BORJA
-31.3344288,-54.1024996,53,32417202,96400110,CENTRO,"AVENIDA TUPY SILVEIRA, 1401",DIMED S/A - DISTRIBUIDORA DE MEDICAMENTOS,BAGE,RS
-19.5372539,-40.6277042,27,37222843,29700010,CENTRO,"GETULIO VARGAS, Nº 458",DOCE ERVAS FARMACIA LTDA ME,COLATINA,ES
-15.5928719,-56.0807552,65,36410899,78050040,BOSQUE DA SAUDE,"AVENIDA ACLIMACAO, 245",RAIA DROGASIL S/A,CUIABA,MT
-29.1881508,-51.200376,54,33350100,95096150,CENTRO,"AV BOM PASTOR, 1414, LOJA 01",COMERCIO DE MEDICAMENTOS BRAIR LTDA,CAXIAS DO SUL,RS
-22.9741944,-43.1934806,21,38166969,22061000,COPACABANA,"RUA POMPEU LOUREIRO, Nº 27, LOJA C",DROGARIA POMPEU LOUREIRO LTDA,RIO DE JANEIRO,RJ
-22.815503,-47.2502485,19,38734831,13175370,VILA CARLOTA,"VICENTE FERREIRA DA SILVA, 1375",A.B. COMERCIO DE MEDICAMENTOS LTDA ME,SUMARE,SP
-20.8669112,-47.9008767,16,3826-078,14620000,J BOA VISTA,"R QUATRO, Nº 436, A",DROGAVILA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - ME,ORLANDIA,SP
-20.5014533,-55.8969621,18,36243034,16045970,JARDIM PLANALTO,"RUA MARCILIO DIAS, Nº 2519",MAURO SERGIO DA SILVA & CIA LTDA ME,ARACATUBA,SP
